Category: Arts & Entertainment

Day,Witcher: (United States),Spenser Confidential: (United States),Birds of Prey: (United States),6 Underground: (United States),Onward: (United States)
2019-12-10,2,0,1,3,<1
2019-12-11,2,0,1,4,<1
2019-12-12,3,0,1,5,<1
2019-12-13,3,0,1,30,<1
2019-12-14,3,0,1,100,<1
2019-12-15,3,0,1,92,1
2019-12-16,3,0,1,61,<1
2019-12-17,3,0,<1,44,1
2019-12-18,3,0,1,34,1
2019-12-19,4,0,1,26,<1
2019-12-20,31,0,1,23,1
2019-12-21,88,0,1,29,1
2019-12-22,93,0,1,29,<1
2019-12-23,77,0,1,23,<1
2019-12-24,69,0,1,19,1
2019-12-25,57,0,1,25,<1
2019-12-26,63,0,1,22,<1
2019-12-27,58,0,1,18,<1
2019-12-28,53,0,1,19,<1
2019-12-29,52,0,1,19,<1
2019-12-30,49,0,1,17,<1
2019-12-31,44,0,1,16,<1
2020-01-01,44,0,1,18,2
2020-01-02,44,<1,1,14,1
2020-01-03,36,<1,2,10,<1
2020-01-04,39,<1,2,13,<1
2020-01-05,35,<1,1,12,<1
2020-01-06,29,<1,1,8,1
2020-01-07,26,0,2,5,1
2020-01-08,20,<1,2,5,1
2020-01-09,19,<1,3,4,<1
2020-01-10,18,<1,5,5,1
2020-01-11,24,0,5,8,1
2020-01-12,24,0,4,8,1
2020-01-13,18,0,4,5,1
2020-01-14,14,0,5,3,<1
2020-01-15,15,0,3,4,<1
2020-01-16,13,<1,3,3,1
2020-01-17,14,0,3,3,<1
2020-01-18,16,<1,4,6,1
2020-01-19,15,<1,5,7,1
2020-01-20,14,2,6,5,1
2020-01-21,12,4,3,4,1
2020-01-22,12,2,3,3,1
2020-01-23,11,1,3,2,<1
2020-01-24,10,1,5,3,<1
2020-01-25,12,1,5,4,1
2020-01-26,13,1,5,6,<1
2020-01-27,9,<1,5,3,1
2020-01-28,9,<1,4,2,<1
2020-01-29,8,<1,5,2,<1
2020-01-30,8,<1,8,2,1
2020-01-31,8,<1,6,2,<1
2020-02-01,9,1,8,4,1
2020-02-02,9,1,7,5,1
2020-02-03,6,<1,6,1,1
2020-02-04,6,<1,10,2,1
2020-02-05,6,<1,14,1,1
2020-02-06,6,<1,17,2,1
2020-02-07,6,<1,33,2,1
2020-02-08,8,<1,45,3,1
2020-02-09,8,<1,43,4,2
2020-02-10,6,<1,26,2,2
2020-02-11,5,<1,21,1,1
2020-02-12,5,<1,17,1,1
2020-02-13,5,<1,14,1,2
2020-02-14,5,<1,15,1,3
2020-02-15,6,<1,25,3,3
2020-02-16,7,1,23,4,3
2020-02-17,6,<1,16,2,2
2020-02-18,6,<1,11,2,2
2020-02-19,6,<1,9,1,3
2020-02-20,5,<1,7,1,3
2020-02-21,5,<1,8,1,4
2020-02-22,6,<1,11,3,6
2020-02-23,7,<1,12,3,5
2020-02-24,5,1,7,2,4
2020-02-25,4,<1,5,1,5
2020-02-26,3,1,5,1,5
2020-02-27,4,3,4,1,5
2020-02-28,3,2,5,1,7
2020-02-29,5,2,8,2,17
2020-03-01,5,2,7,3,12
2020-03-02,4,2,4,1,8
2020-03-03,3,2,3,1,9
2020-03-04,3,2,3,1,11
2020-03-05,3,2,3,1,15
2020-03-06,3,20,4,1,29
2020-03-07,4,75,6,2,46
2020-03-08,5,81,6,2,38
