Category: Arts & Entertainment

Day,Witcher: (Worldwide),Spenser Confidential: (Worldwide),Birds of Prey: (Worldwide),6 Underground: (Worldwide),Onward: (Worldwide)
2019-12-10,2,0,<1,2,<1
2019-12-11,2,0,1,3,<1
2019-12-12,4,0,1,4,<1
2019-12-13,3,0,1,47,<1
2019-12-14,3,0,1,92,<1
2019-12-15,3,0,<1,83,<1
2019-12-16,3,0,<1,50,<1
2019-12-17,3,0,<1,36,1
2019-12-18,3,0,1,29,<1
2019-12-19,6,0,<1,25,<1
2019-12-20,55,0,1,23,<1
2019-12-21,91,0,1,27,<1
2019-12-22,100,0,1,27,<1
2019-12-23,80,0,1,19,<1
2019-12-24,66,0,<1,18,<1
2019-12-25,65,0,1,21,<1
2019-12-26,63,0,1,19,<1
2019-12-27,59,0,1,17,<1
2019-12-28,56,0,1,18,<1
2019-12-29,60,0,<1,18,<1
2019-12-30,48,0,1,15,<1
2019-12-31,41,0,1,14,<1
2020-01-01,46,0,1,18,1
2020-01-02,43,<1,1,13,1
2020-01-03,39,<1,1,11,<1
2020-01-04,39,<1,1,13,<1
2020-01-05,37,<1,1,11,<1
2020-01-06,30,<1,1,7,<1
2020-01-07,25,<1,1,6,<1
2020-01-08,23,<1,1,5,<1
2020-01-09,21,<1,2,5,<1
2020-01-10,21,<1,3,6,<1
2020-01-11,24,0,3,9,<1
2020-01-12,25,0,2,8,<1
2020-01-13,18,<1,2,5,<1
2020-01-14,16,<1,3,4,<1
2020-01-15,15,<1,2,4,<1
2020-01-16,14,<1,2,4,<1
2020-01-17,13,<1,2,4,<1
2020-01-18,16,<1,2,6,<1
2020-01-19,16,<1,3,6,<1
2020-01-20,13,1,2,4,1
2020-01-21,12,2,2,3,<1
2020-01-22,12,1,2,3,<1
2020-01-23,12,1,2,3,<1
2020-01-24,12,1,3,4,<1
2020-01-25,13,1,3,6,<1
2020-01-26,13,1,4,5,<1
2020-01-27,10,<1,3,3,<1
2020-01-28,9,<1,3,3,<1
2020-01-29,8,<1,3,2,<1
2020-01-30,9,<1,5,3,<1
2020-01-31,8,<1,4,3,<1
2020-02-01,10,<1,6,4,<1
2020-02-02,10,<1,6,4,1
2020-02-03,7,<1,5,2,1
2020-02-04,7,<1,7,2,<1
2020-02-05,7,<1,11,2,<1
2020-02-06,6,<1,15,2,<1
2020-02-07,7,<1,24,3,1
2020-02-08,7,<1,29,4,1
2020-02-09,9,<1,25,4,1
2020-02-10,6,<1,17,2,1
2020-02-11,6,<1,15,2,<1
2020-02-12,5,<1,13,2,1
2020-02-13,5,<1,11,2,1
2020-02-14,5,<1,13,2,1
2020-02-15,7,<1,18,4,1
2020-02-16,7,<1,15,3,1
2020-02-17,6,<1,10,2,1
2020-02-18,6,<1,8,2,1
2020-02-19,6,<1,7,2,2
2020-02-20,6,<1,7,2,2
2020-02-21,6,<1,8,2,3
2020-02-22,7,<1,10,3,3
2020-02-23,7,<1,9,3,2
2020-02-24,5,<1,6,2,2
2020-02-25,5,<1,5,2,2
2020-02-26,4,<1,4,2,3
2020-02-27,4,1,4,2,3
2020-02-28,4,1,4,2,4
2020-02-29,6,1,6,3,8
2020-03-01,6,1,6,3,5
2020-03-02,5,1,3,2,4
2020-03-03,4,1,3,1,4
2020-03-04,4,1,3,1,6
2020-03-05,4,1,3,2,8
2020-03-06,4,16,4,2,14
2020-03-07,5,40,6,2,20
2020-03-08,5,42,6,3,18
