Day,onward: (United States),spenser confidential: (United States)
2020-02-01,2,1
2020-02-02,2,<1
2020-02-03,2,<1
2020-02-04,2,<1
2020-02-05,2,<1
2020-02-06,2,<1
2020-02-07,3,<1
2020-02-08,3,<1
2020-02-09,3,<1
2020-02-10,3,<1
2020-02-11,3,<1
2020-02-12,4,<1
2020-02-13,4,<1
2020-02-14,5,<1
2020-02-15,6,<1
2020-02-16,6,1
2020-02-17,6,<1
2020-02-18,5,<1
2020-02-19,8,<1
2020-02-20,7,<1
2020-02-21,10,<1
2020-02-22,15,<1
2020-02-23,11,<1
2020-02-24,11,1
2020-02-25,12,<1
2020-02-26,12,1
2020-02-27,12,2
2020-02-28,17,3
2020-02-29,34,2
2020-03-01,26,2
2020-03-02,18,2
2020-03-03,18,2
2020-03-04,21,2
2020-03-05,28,2
2020-03-06,61,22
2020-03-07,100,76
2020-03-08,82,86
2020-03-09,42,43
2020-03-10,33,30
2020-03-11,28,21
2020-03-12,22,16
2020-03-13,25,17
2020-03-14,35,31
2020-03-15,29,36
2020-03-16,15,18
2020-03-17,11,14
2020-03-18,9,12
2020-03-19,7,10
2020-03-20,52,8
2020-03-21,94,14
