,,,,,,,,,
,Released,Released,Title,Genre,"Production
Budget","Domestic
Box Office","International
Box Office","Worldwide
Box Office",
,1,"May 19, 2004",2004,Shrek 2,Adventure,"$70,000,000","$441,226,247","$495,781,885","$937,008,132"
,2,"Mar 23, 2012",2012,The Hunger Games,Thriller/Suspense,"$80,000,000","$408,010,692","$269,912,687","$677,923,379"
,3,"Dec 20, 2017",2017,Jumanji: Welcome to the Jungle,Adventure,"$90,000,000","$404,508,916","$559,987,277","$964,496,193"
,4,"May 30, 2003",2003,Finding Nemo,Adventure,"$94,000,000","$380,529,370","$555,900,000","$936,429,370"
,5,"Dec 17, 2003",2003,The Lord of the Rings: The Return of …,Adventure,"$94,000,000","$377,845,905","$742,578,709","$1,120,424,614"
,6,"Feb 25, 2004",2004,The Passion of the Christ,Drama,"$25,000,000","$370,782,930","$251,558,994","$622,341,924"
,7,"Jul 8, 2016",2016,The Secret Life of Pets,Adventure,"$75,000,000","$368,384,330","$518,222,082","$886,606,412"
,8,"Jul 3, 2013",2013,Despicable Me 2,Adventure,"$76,000,000","$368,065,385","$607,151,450","$975,216,835"
,9,"Feb 12, 2016",2016,Deadpool,Action,"$58,000,000","$363,070,709","$437,954,884","$801,025,593"
,10,"Dec 25, 2014",2014,American Sniper,Drama,"$58,000,000","$350,126,372","$197,200,000","$547,326,372"
,11,"Dec 18, 2002",2002,The Lord of the Rings: The Two Towers,Adventure,"$94,000,000","$342,548,984","$585,049,265","$927,598,249"
,12,"Jul 10, 2015",2015,Minions,Adventure,"$74,000,000","$336,045,770","$824,290,403","$1,160,336,173"
,13,"Oct 4, 2019",2019,Joker,Thriller/Suspense,"$55,000,000","$335,451,311","$738,800,000","$1,074,251,311"
,14,"Sep 8, 2017",2017,It,Horror,"$35,000,000","$328,828,874","$372,900,000","$701,728,874"
,15,"Jun 30, 2010",2010,The Twilight Saga: Eclipse,Drama,"$68,000,000","$300,531,751","$405,571,077","$706,102,828"
,16,"Nov 20, 2009",2009,The Twilight Saga: New Moon,Drama,"$50,000,000","$296,623,634","$390,934,093","$687,557,727"
,17,"Dec 22, 2004",2004,Meet the Fockers,Comedy,"$60,000,000","$279,167,575","$237,400,000","$516,567,575"
,18,"Jun 5, 2009",2009,The Hangover,Comedy,"$35,000,000","$277,322,503","$188,441,583","$465,764,086"
,19,"Nov 9, 2018",2018,Dr. Seuss’ The Grinch,Adventure,"$75,000,000","$270,620,950","$241,048,559","$511,669,509"
,20,"Dec 21, 2016",2016,Sing,Adventure,"$75,000,000","$270,329,045","$364,125,744","$634,454,789"
,21,"May 18, 2001",2001,Shrek,Adventure,"$50,000,000","$267,655,011","$224,157,783","$491,812,794"
,22,"Jun 30, 2017",2017,Despicable Me 3,Adventure,"$75,000,000","$264,624,300","$770,100,410","$1,034,724,710"
,23,"Nov 15, 2002",2002,Harry Potter and the Chamber of Secrets,Adventure,"$100,000,000","$262,233,381","$616,991,754","$879,225,135"
,24,"Nov 5, 2004",2004,The Incredibles,Adventure,"$92,000,000","$261,441,092","$370,000,000","$631,441,092"
,25,"Feb 7, 2014",2014,The Lego Movie,Adventure,"$60,000,000","$257,784,718","$210,300,000","$468,084,718"
,26,"Nov 20, 2009",2009,The Blind Side,Drama,"$35,000,000","$255,959,475","$49,746,319","$305,705,794"
,27,"May 26, 2011",2011,The Hangover Part II,Comedy,"$80,000,000","$254,464,305","$332,000,000","$586,464,305"
,28,"Jul 9, 2010",2010,Despicable Me,Adventure,"$69,000,000","$251,513,985","$291,950,588","$543,464,573"
,29,"Jun 9, 2006",2006,Cars,Adventure,"$70,000,000","$244,082,982","$217,568,264","$461,651,246"
,30,"May 23, 2003",2003,Bruce Almighty,Comedy,"$81,000,000","$242,704,995","$241,763,613","$484,468,608"
,31,"Dec 22, 2000",2000,Cast Away,Drama,"$85,000,000","$233,632,142","$193,598,374","$427,230,516"
,32,"Aug 2, 2002",2002,Signs,Thriller/Suspense,"$70,702,619","$227,969,295","$180,300,000","$408,269,295"
